Segment ID,Station ID,Station Description,Start Date,Start Time,Start Depth,Submitting Entity,Collecting Entity,Monitoring Type,Parameter Name,Parameter Code,Value,RFA/Tag ID,Station Latitude,Station Longitude,Comments
2311,13265,PECOS RIVER AT FM 652 CAMS 0798,5/10/88,12:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,1662,Z212881,31.8727,-103.831669,
2311,13249,UPPER PECOS RIVER AT SH 290,11/2/70,1:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,5300,Z212166,30.659615,-101.770126,
2311,13249,UPPER PECOS RIVER AT SH 290,3/20/87,1:00,0.3,TEXAS RAILROAD COMMISSION,DEFAULT CODE FOR UNKNOWN SOURCES,TYPE OF SAMPLING UNKNOWN - HISTORICAL DATA,CHLORIDE (MG/L AS CL),940,2232,Z212283,30.659615,-101.770126,
2311,13249,UPPER PECOS RIVER AT SH 290,4/27/87,2:00,0.3,TEXAS RAILROAD COMMISSION,DEFAULT CODE FOR UNKNOWN SOURCES,TYPE OF SAMPLING UNKNOWN - HISTORICAL DATA,CHLORIDE (MG/L AS CL),940,3508,Z212284,30.659615,-101.770126,
2311,13249,UPPER PECOS RIVER AT SH 290,5/4/87,4:15,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,3472,Z212285,30.659615,-101.770126,
2311,13249,UPPER PECOS RIVER AT SH 290,10/2/74,4:30,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,330,Z212221,30.659615,-101.770126,
2311,13249,UPPER PECOS RIVER AT SH 290,12/4/74,12:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,4420,Z212223,30.659615,-101.770126,
2311,13249,UPPER PECOS RIVER AT SH 290,7/17/91,8:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,3556,Z212304,30.659615,-101.770126,WATER CLEAR; SURGE OF FLOW FROM PREVIOUS SAMPLING SITE (IRAAN); MINNOWS; SAW ABIG FISH JUMP
2311,13257,PECOS RIVER AT US 67 CAMS 785 ,7/9/74,11:35,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,8570,Z212568,31.079257,-102.360415,
2311,13257,PECOS RIVER AT US 67 CAMS 785 ,10/2/74,3:10,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,243,Z212571,31.079257,-102.360415,
